datetime,open,high,low,close,volume
2018-02-15 09:00:00,113824,113944,113797,113924,4935
2018-02-15 09:01:00,113924,113944,113670,113764,3254
2018-02-15 09:02:00,113771,113804,113744,113757,2109
2018-02-15 09:03:00,113751,113784,113677,113690,2903
2018-02-15 09:04:00,113704,113724,113610,113610,2572
2018-02-15 09:05:00,113610,113650,113523,113523,3952
2018-02-15 09:06:00,113523,113637,113510,113604,3349
2018-02-15 09:07:00,113604,113704,113557,113564,4410
2018-02-15 09:08:00,113577,113617,113483,113570,4420
2018-02-15 09:09:00,113584,113590,113550,113584,757
2018-02-15 09:10:00,113584,113657,113570,113610,2006
2018-02-15 09:11:00,113604,113610,113483,113550,3081
2018-02-15 09:12:00,113550,113724,113550,113710,4536
2018-02-15 09:13:00,113710,113777,113677,113697,5637
2018-02-15 09:14:00,113704,113710,113610,113610,2971
2018-02-15 09:15:00,113610,113637,113537,113564,2895
2018-02-15 09:16:00,113570,113657,113564,113564,2357
2018-02-15 09:17:00,113564,113610,113517,113557,3245
2018-02-15 09:18:00,113550,113590,113463,113510,6626
2018-02-15 09:19:00,113510,113523,113437,113497,2912
2018-02-15 09:20:00,113490,113570,113477,113570,2462
2018-02-15 09:21:00,113564,113630,113530,113597,3311
2018-02-15 09:22:00,113597,113697,113597,113677,3660
2018-02-15 09:23:00,113670,113731,113584,113604,3740
2018-02-15 09:24:00,113610,113657,113544,113557,2078
2018-02-15 09:25:00,113564,113644,113557,113617,2118
2018-02-15 09:26:00,113610,113677,113610,113664,1994
2018-02-15 09:27:00,113664,113811,113664,113731,7783
2018-02-15 09:28:00,113744,113837,113710,113824,5392
2018-02-15 09:29:00,113831,113877,113764,113777,4366
2018-02-15 09:30:00,113771,113784,113710,113724,3077
2018-02-15 09:31:00,113731,113811,113717,113764,2068
2018-02-15 09:32:00,113771,113771,113684,113717,2667